No.,Time,Seconds,Minutes,Source,Destination,Protocol,Length,Info
1,0,0,0,10.10.5.11,10.10.5.10,TCP,5108,"49205  >  1291 [PSH, ACK] Seq=1 Ack=1 Win=256 Len=5054"
2,0.000050395,0,0,10.10.5.10,10.10.5.11,TCP,54,1291  >  49205 [ACK] Seq=1 Ack=5055 Win=501 Len=0
3,0.000240086,0,0,10.10.5.10,10.10.5.11,TCP,69,"1291  >  49205 [PSH, ACK] Seq=1 Ack=5055 Win=501 Len=15"
4,0.186709976,0,0,10.10.5.11,10.10.5.10,TCP,60,49205  >  1291 [ACK] Seq=5055 Ack=16 Win=256 Len=0
5,1.11968895,1,0,10.10.5.14,10.10.5.10,TCP,4697,"49195  >  1294 [PSH, ACK] Seq=1 Ack=1 Win=256 Len=4643"
6,1.119724644,1,0,10.10.5.10,10.10.5.14,TCP,54,1294  >  49195 [ACK] Seq=1 Ack=4644 Win=481 Len=0
7,1.119965444,1,0,10.10.5.10,10.10.5.14,TCP,69,"1294  >  49195 [PSH, ACK] Seq=1 Ack=4644 Win=501 Len=15"
8,1.317789115,1,0,10.10.5.14,10.10.5.10,TCP,60,49195  >  1294 [ACK] Seq=4644 Ack=16 Win=256 Len=0
9,1.334796997,1,0,10.10.5.12,10.10.5.10,TCP,4542,"49204  >  1292 [PSH, ACK] Seq=1 Ack=1 Win=256 Len=4488"
10,1.334825765,1,0,10.10.5.10,10.10.5.12,TCP,54,1292  >  49204 [ACK] Seq=1 Ack=4489 Win=484 Len=0
11,1.335051219,1,0,10.10.5.10,10.10.5.12,TCP,69,"1292  >  49204 [PSH, ACK] Seq=1 Ack=4489 Win=501 Len=15"
12,1.52750646,1,0,10.10.5.12,10.10.5.10,TCP,60,49204  >  1292 [ACK] Seq=4489 Ack=16 Win=256 Len=0
13,4.526455302,4,0,PcsCompu_60:73:28,PcsCompu_df:63:fa,ARP,60,Who has 10.10.5.10? Tell 10.10.5.11
14,4.526469662,4,0,PcsCompu_df:63:fa,PcsCompu_60:73:28,ARP,42,10.10.5.10 is at 08:00:27:df:63:fa
15,6.811953435,6,0,10.10.5.13,10.10.5.10,TCP,4626,"49196  >  1293 [PSH, ACK] Seq=1 Ack=1 Win=256 Len=4572"
16,6.812012882,6,0,10.10.5.10,10.10.5.13,TCP,54,1293  >  49196 [ACK] Seq=1 Ack=4573 Win=484 Len=0
17,6.812207138,6,0,10.10.5.10,10.10.5.13,TCP,69,"1293  >  49196 [PSH, ACK] Seq=1 Ack=4573 Win=501 Len=15"
18,7.004026643,7,0,10.10.5.13,10.10.5.10,TCP,60,49196  >  1293 [ACK] Seq=4573 Ack=16 Win=256 Len=0
19,15.00673858,15,0,10.10.5.11,10.10.5.10,TCP,5104,"49205  >  1291 [PSH, ACK] Seq=5055 Ack=16 Win=256 Len=5050"
20,15.0067988,15,0,10.10.5.10,10.10.5.11,TCP,54,1291  >  49205 [ACK] Seq=16 Ack=10105 Win=501 Len=0
21,15.00699384,15,0,10.10.5.10,10.10.5.11,TCP,69,"1291  >  49205 [PSH, ACK] Seq=16 Ack=10105 Win=501 Len=15"
22,15.20042539,15,0,10.10.5.11,10.10.5.10,TCP,60,49205  >  1291 [ACK] Seq=10105 Ack=31 Win=256 Len=0
23,16.12216143,16,0,10.10.5.14,10.10.5.10,TCP,4697,"49195  >  1294 [PSH, ACK] Seq=4644 Ack=16 Win=256 Len=4643"
24,16.12219397,16,0,10.10.5.10,10.10.5.14,TCP,54,1294  >  49195 [ACK] Seq=16 Ack=9287 Win=481 Len=0
